What is your gender? (Optional),"Would you consider yourself having had a technical background, either in education or work experience? (Optional)",Are you employed in crypto? (Optional),What region are you staking from? (Optional)
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,,East Asia
Male,,,
Male,,,
Other,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Other,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Other,Strongly technical,"No, and I work in an unrelated field",North America
Other,Strongly technical,"No, and I work in an unrelated field",Northern Europe
Other,Strongly technical,"No, and I work in an unrelated field",West Africa
Other,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
Other,Strongly technical,"Yes, crypto is my full-time job",South America
,Not technical,I'm unemployed,
,Somewhat technical or just as a hobby,I do some freelance or contract work in crypto,
,Somewhat technical or just as a hobby,I'm unemployed,Oceania
,Somewhat technical or just as a hobby,I'm unemployed,
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",North America
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Oceania
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Southeast Asia
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",Western Europe / UK
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field",
,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Western Europe / UK
,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Western Europe / UK
,Somewhat technical or just as a hobby,,
,Somewhat technical or just as a hobby,,
,Strongly technical,I do some freelance or contract work in crypto,
,Strongly technical,I'm unemployed,North America
,Strongly technical,"No, and I work in an unrelated field",North America
,Strongly technical,"No, and I work in an unrelated field",North America
,Strongly technical,"No, and I work in an unrelated field",North America
,Strongly technical,"No, and I work in an unrelated field",North America
,Strongly technical,"No, and I work in an unrelated field",Not sure / I'm not the operator
,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
,Strongly technical,"No, and I work in an unrelated field",Western Europe / UK
,Strongly technical,"No, and I work in an unrelated field",
,Strongly technical,"No, and I work in an unrelated field",
,Strongly technical,"No, but I work in a related field",North America
,Strongly technical,"No, but I work in a related field",North America
,Strongly technical,"No, but I work in a related field",Northern Europe
,Strongly technical,"No, but I work in a related field",Western Europe / UK
,Strongly technical,"No, but I work in a related field",
,Strongly technical,"Yes, crypto is my full-time job",Not sure / I'm not the operator
,Strongly technical,"Yes, crypto is my full-time job",Southern Europe
,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
,Strongly technical,"Yes, crypto is my full-time job",Western Europe / UK
,Strongly technical,"Yes, crypto is my full-time job",
,Strongly technical,,North America
,Strongly technical,,North America
,Strongly technical,,
,Strongly technical,,
,,,Southern Africa
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
